,error
0,12519.350290369724
1,12518.983425620849
2,12515.755771434253
3,12507.042881039595
4,12507.042881039595
5,12501.349112567628
6,12497.695426069684
7,12497.68839985347
8,12497.68839985347
9,76.83880698581139
10,62.6716436373722
11,61.05444496449246
12,53.74388599639689
13,50.62724678874486
14,50.480372234561095
15,50.480372234561095
16,50.07976445393008
17,47.66232886710176
18,47.652777214133266
19,46.60194258720958
20,46.432477491229506
21,46.098168065089
22,45.4977604726335
23,45.485818884177625
24,44.53730518913435
25,44.14553707555925
26,44.140321583454174
27,42.83006384535046
28,42.52055789761058
29,41.44414288933017
30,40.44108751132422
31,38.46743057077099
32,38.39631248754222
33,38.38920171937243
34,38.32798056153578
35,38.32798056153578
36,38.00967195276218
37,37.16631292486895
38,37.02311934535388
39,36.81410937296348
40,36.118481626487295
41,36.0512523979998
42,35.67616327517528
43,35.38822649761279
44,35.36446995264358
45,35.30420072496577
46,35.229724197608775
47,35.17106481509366
48,34.9365499059433
49,34.9155513022647
50,34.82846004513275
51,34.53470789291049
52,33.373663684305384
53,33.33852149887754
54,33.15957110228941
55,33.13896723763183
56,32.33683212949709
57,32.11536475649671
58,32.11536475649671
59,30.4023812817652
60,30.252165128987382
61,30.181623181973148
62,30.181623181973148
63,29.91309424732569
64,29.91309424732569
65,29.715651531309387
66,29.715651531309387
67,29.679547414884485
68,29.160043051584477
69,29.15781585392679
70,28.788676331429727
71,28.752595631711912
72,28.577454407717962
73,28.51082416133847
74,28.51082416133847
75,28.418969844092832
76,28.418969844092832
77,27.887390442170314
78,27.85441419099296
79,26.949843219398407
80,26.933750317392953
81,26.91773345595074
82,26.543960232946393
83,26.377673995528212
84,26.32114572173431
85,26.314308193394954
86,26.314308193394954
87,26.210013721533024
88,26.13362708291256
89,26.09278300264816
90,26.07113264260859
91,26.037372739795774
92,26.037372739795774
93,26.01629998014282
94,25.876985412222734
95,25.791412941713947
96,25.738355265591768
97,25.513358621177133
98,25.470569519263613
99,25.192498026039964
100,25.192498026039964
101,25.116716294763798
102,25.067120881131938
103,25.017788096386045
104,24.981406782323898
105,24.977414409021936
106,24.827320050609856
107,24.817267154766512
108,24.805015396590886
109,24.805015396590886
110,24.796212550317072
111,24.796212550317072
112,24.760097206620394
113,24.760097206620394
114,24.7210830424961
115,24.563043288756095
116,24.402073012252025
117,24.402073012252025
118,24.173870123937725
119,24.16242390632237
120,24.159851265705665
121,24.03719392379572
122,24.00046244858159
123,24.00046244858159
124,23.968795004847713
125,23.870535784409103
126,23.839513795899087
127,23.805190445933288
128,23.782854928768504
129,23.782854928768504
130,23.6382417523431
131,23.615389547549768
132,23.383445582615604
133,23.16104981990147
134,23.15746441448473
135,23.141253861777138
136,23.141253861777138
137,23.137437939124084
138,22.952724235671347
139,22.942290908319073
140,22.90455041900077
141,22.682104052231352
142,22.493952547386673
143,22.354503877985717
144,22.333025649002675
145,22.175550588770435
146,22.175550588770435
147,21.85357402575232
148,21.84859822676987
149,21.821510463270116
150,21.703552021006452
151,21.542862678536665
152,21.542862678536665
153,21.45444991351594
154,21.44156990968803
155,21.411813116241344
156,21.345610667298164
157,21.336466979241845
158,21.125596425384213
159,21.02264187371693
160,20.913135595169976
161,20.901911277137508
162,20.84646981330163
163,20.773236970917864
164,20.698568316631388
165,20.570395068976314
166,20.5457262898036
167,20.516947917457145
168,20.462832146204935
169,19.96785200801428
170,19.92984449515123
171,19.92679192227094
172,19.865402937541106
173,19.86133513255776
174,19.86133513255776
175,19.83089977292847
176,19.83089977292847
177,19.81747295836099
178,19.39771825395265
179,19.34113598552053
180,19.34113598552053
181,19.316776812875823
182,19.312473185914172
183,19.25479447200901
184,19.239990284317233
185,19.22536004772797
186,19.22536004772797
187,19.04825492243635
188,19.047896604868104
189,19.047896604868104
190,18.92895167241255
191,18.854812384380683
192,18.78621005838722
193,18.66299931009769
194,18.56082060548527
195,18.538560347901964
196,18.480045123654932
197,18.435321513130127
198,18.368856139501933
199,18.368856139501933
200,18.352069515092015
201,18.31059853490339
202,18.084483763557117
203,18.084483763557117
204,17.807380808867666
205,17.75507643220755
206,17.683817777115593
207,17.590913484102437
208,17.53033188719534
209,17.303101235414434
210,17.286376227946377
211,17.232840480626322
212,17.147797239414395
